Threads	AOPT	AOPT-opt-reads	AOPT-unsafe	PMWCAS
1	3.03583	3.158947	3.098636	3.038722
2	5.970046	6.296182	6.098992	6.016242
4	11.841499	12.350464	12.028591	11.71972
8	21.244508	22.284722	21.704614	21.303376
12	28.77655	29.838798	29.31404	28.819463
16	34.845471	35.168577	34.971309	31.347024
20	39.037186	42.605522	39.519066	40.15275
24	44.206314	46.108367	45.445946	44.365243
28	46.174894	48.326892	47.71103	46.322834
32	46.183691	49.343089	48.451066	47.430043
36	47.486294	49.959013	48.858663	48.062434
39	47.907134	50.384862	49.250304	48.435269
